Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Italy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.2,0.4,0.6,1.2,1.4,1.5,1.8,2.3,3.0,4.0,4.9,6.5,9.1,9.9,13.4,14.9,15.2,14.8,17.7,17.7,17.7,20.2,18.8,20.9,20.49,23.64,22.32
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.19,0.27,0.28
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.2,0.2,0.5,0.5,0.6,0.6,0.8,1.1,1.4,1.1,1.5,1.6,1.4,1.51,2.54,3.51
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.3,0.31,0.50,0.47
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.8,0.8,0.9,1.3,1.9,2.1,2.7,3.4,4.3,4.6,4.0,5.1,5.0,5.6,5.8,7.5,8.2,10.6,10.5,11.5,15.3,18.0,21.57,29.53,33.38
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.16,0.17
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.2,0.3,0.5,0.6,0.9,0.9,1.0,0.9,1.3,1.5,1.9,2.2,2.5,2.1,2.9,3.9,5.5,9.9,11.8,14.81,13.97,14.52
Poland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,0.1,0.1,0.1,0.1,0.3,0.5,0.8,1.1,1.7,3.2,4.7,6.0,7.7,10.9,12.6,14.9,12.8,15.1,15.8,16.2,19.78,24.18,25.86
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.2,0.3,0.4,0.5,0.8,1.8,2.9,4.0,5.8,7.6,9.2,9.2,10.3,12.0,12.1,11.6,12.5,12.2,12.6,13.7,12.3,13.2,13.24,13.15,14.45
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.3,1.4,2.6,4.5,4.7,7.1,6.6,7.4,6.3,6.8,6.9,6.6,7.00,7.55,6.36
